 Energy parameters
 ------------
 species           1
 l=           0
 l=           4
 n=           0   9.40060698303115
 n=           1   21.4575993398124
 n=           2   37.1974240347288
 n=           3   56.8411639544922
 n=           4   80.3903099047615
 n=           5   107.832477846161
 n=           6   139.164065342098
 n=           7   174.387355924384
 n=           8   213.500101010233
 n=           9   256.495048197671
 n=          10   303.366664512161
 n=          11   354.112986423146
 n=          12   408.732545338752
 n=          13   467.222981541936
 n=          14   529.582113528887
 n=          15   595.808494601862
 n=          16   665.900965655128
 n=          17   739.858382724903
 n=          18   817.679724558208
 n=          19   899.364140964307
 n=          20   984.910883963481

 l=           5
 n=           0   12.8936522277370
 n=           1   27.2605348178669
 n=           2   45.1045734744889
 n=           3   66.7894413334217
 n=           4   92.3536521077185
 n=           5   121.797316200421
 n=           6   155.115924465988
 n=           7   192.310474029926
 n=           8   233.384402100516
 n=           9   278.337076283183
 n=          10   327.164175169774
 n=          11   379.862214127349
 n=          12   436.429885094435
 n=          13   496.866274348127
 n=          14   561.169918081057
 n=          15   629.339351185783
 n=          16   701.373502778557
 n=          17   777.271505174218
 n=          18   857.032527777965
 n=          19   940.655814150044
 n=          20   1028.14071172778

 l=           6
 n=           0   16.8076739122801
 n=           1   33.4909134546792
 n=           2   53.4375509071999
 n=           3   77.1596966378842
 n=           4   104.731186622462
 n=           5   136.168213850445
 n=           6   171.471334310594
 n=           7   210.639756358072
 n=           8   253.676343801070
 n=           9   300.584550563727
 n=          10   351.364403663458
 n=          11   406.013299591372
 n=          12   464.529068635840
 n=          13   526.910858897923
 n=          14   593.158082109959
 n=          15   663.269813958980
 n=          16   737.245078950408
 n=          17   815.083103775589
 n=          18   896.783240785517
 n=          19   982.344877060357
 n=          20   1071.76744844930
