 Energy parameters
 ------------
 species           1
 l=           0
 l=           4
 n=           0   9.40051076742879
 n=           1   21.4575018729006
 n=           2   37.1973256905130
 n=           3   56.8410655944488
 n=           4   80.3902111853886
 n=           5   107.832378826056
 n=           6   139.163966100186
 n=           7   174.387256531045
 n=           8   213.500001476504
 n=           9   256.494948502039
 n=          10   303.366564648821
 n=          11   354.112886400180
 n=          12   408.732445155202
 n=          13   467.222881187431
 n=          14   529.582012994378
 n=          15   595.808393880726
 n=          16   665.900864739478
 n=          17   739.858281605518
 n=          18   817.679623225906
 n=          19   899.364039409928
 n=          20   984.910782177580

 l=           5
 n=           0   12.8935558932957
 n=           1   27.2604374718675
 n=           2   45.1044755925886
 n=           3   66.7893431725302
 n=           4   92.3535531851086
 n=           5   121.797217357300
 n=           6   155.115825340271
 n=           7   192.310374683932
 n=           8   233.384302587763
 n=           9   278.336976611441
 n=          10   327.164075322519
 n=          11   379.862114098020
 n=          12   436.429784886490
 n=          13   496.866173960021
 n=          14   561.169817504664
 n=          15   629.339250412741
 n=          16   701.373401801669
 n=          17   777.271403985592
 n=          18   857.032426368825
 n=          19   940.655712511429
 n=          20   1028.14060985060

 l=           6
 n=           0   16.8075773199864
 n=           1   33.4908166817445
 n=           2   53.4374535254891
 n=           3   77.1595986516739
 n=           4   104.731088249560
 n=           5   136.168115164755
 n=           6   171.471235327171
 n=           7   210.639657102156
 n=           8   253.676244323825
 n=           9   300.584450905351
 n=          10   351.364303828605
 n=          11   406.013199567104
 n=          12   464.528968415605
 n=          13   526.910758481928
 n=          14   593.157981495534
 n=          15   663.269713139070
 n=          16   737.244977917230
 n=          17   815.083002521711
 n=          18   896.783139302997
 n=          19   982.344775340643
 n=          20   1071.76734648360

 ------------
